user,"I saw a video, kinda like business guru guy, and he's saying some stuff like, you know, he had a little bed in the gym where he was personal training and he'd sleep there. ",Sam Sulek Recounts Alex Hormozi Underdog Story,220,7599
assistant,"Everybody when I was sleeping on the gym floor, right? Like, you know, I was the underdog. ",Sam Sulek Recounts Alex Hormozi Underdog Story,7960,12546
user,"And all of his trainees were like, we love what you're doing, you know, I hope you really take off. ",Sam Sulek Recounts Alex Hormozi Underdog Story,12586,17172
assistant,"You know, my clients were all like, oh, good for you. You know, you're going after your dream. And they'd see my blanket and my pillow in the corner of the gym and they knew I was sleeping there. ",Sam Sulek Recounts Alex Hormozi Underdog Story,17691,24753
user,"And then as soon as he actually started making money and he's owned the gym and he's like coming in as the manager, he's like really making moves. ",Sam Sulek Recounts Alex Hormozi Underdog Story,25334,32156
assistant,And then within nine months I had hired people and I had a manager. ,Sam Sulek Recounts Alex Hormozi Underdog Story,32735,35797
user,"Everybody's like, oh, you're the boss now, huh? You're the boss. All right. Well, am I working hard enough? ",Sam Sulek Recounts Alex Hormozi Underdog Story,36397,41799
assistant,"I walked in the lobby, the same people were like, Oh, boss man's here. Oh, you're not too good for us now, right? You guys rooted for me. And I was like, and now I did what you said you were rooting for me to do. And that was when I realized that people want you to do well, but not better than them. ",Sam Sulek Recounts Alex Hormozi Underdog Story,42079,58092
user,Why do you think it is that people are so comfortable constantly being comfortable and they can't put themselves in a position of voluntary suffering? ,Why Are People So Comfortable Being Comfortable? | The Iced Coffee Hour,0,8311
assistant,Because you don't need to. How do people get fat? Like one day at a time where they eat two hundred calories or a thousand calories more than they expended over and over and over again over a very very long period of time. There's no reason to put yourself through suffering. We can go from an air-conditioned house to a heated-seat car. We can Uber Eats ourselves a well-cooked meal while we watch Netflix on the TV that we Amazon Primed to ourselves. So many of the rough edges of life have been eroded. People have built buildings inside of which there are heavy things that you pay to have access to so that you can go in and lift these heavy things up and then put them down in the same place. And it's called a gym. We've had to artificially create discomfort in our own lives because it's been completely eroded from our normal existence. There's a difference between what you want and what is good for you. And what people want is often immediate comfort and what is good for you is some degree of resilience training. Things that are good for you typically have pain immediately and pleasure in the long run. ,Why Are People So Comfortable Being Comfortable? | The Iced Coffee Hour,8371,56789
user,"People only root for people who don't need it. The amount of times when I was on my lonely path, where I was too different from the friends that I had, but not successful enough to be friends with the people that I wanted to be friends with. That's when you want people to root for you. That's when you want people to support you. Once you've already won, people are like, he's amazing. He's so good. That's the time when you need it the least. You always have to be the person who roots for you before everyone else does. And it's usually a single clap in the auditorium. for a very long period of time. It is a slow clap. that's just you rooting for you. People struggle to do things alone and the path of the exceptional person is one of an exception, which means that you are not with other people. Rather than fighting that or bemoaning it, see it as an indicator that you're on the right path because if everyone else were cheering you on, then it means you're not in the right place because it means you're just like everyone else and that's not where you want to be. ",People Only Root For People Who Don't Need It | Alex Hormozi,60,49746
user,"High speed two is a terrible answer in the sense that it goes at the wrong speed along the wrong route. The first thing that was wrong about high speed two was the question they asked. And they asked an engineering question, which is how do you transport X people over Y miles at a time of Z? And so they set down those kinds of mathematical parameters. A marketing person would have asked a different question. How do you make the train service between Manchester and London so good and so enjoyable? people feel stupid driving? Speed may be part of that. convenience, comfort, enjoyability, connectivity, catering, variation of seating. It's much more easy to start silly and rein it back than it is to start boring and rein it forwards. ",Should High Speed 2 Be Abandoned? | Rory Sutherland,60,36745
assistant,What's your thoughts on the abandonment of this billion-dollar train thing? You can still solve it. ,Should High Speed 2 Be Abandoned? | Rory Sutherland,36865,41510
